Strain,Metal_atomic_mass,Chalcogen_atomic_mass,Direction,Crack length,Temperature,Stress
0,95.95,32.06,Armchair,0,100,0
0.001,95.95,32.06,Armchair,0,100,0.098406638
0.002,95.95,32.06,Armchair,0,100,0.191496094
0.003,95.95,32.06,Armchair,0,100,0.285939321
0.004,95.95,32.06,Armchair,0,100,0.394138159
0.005,95.95,32.06,Armchair,0,100,0.495279103
0.006,95.95,32.06,Armchair,0,100,0.585502618
0.007,95.95,32.06,Armchair,0,100,0.683924056
0.008,95.95,32.06,Armchair,0,100,0.790122964
0.009,95.95,32.06,Armchair,0,100,0.889191406
0.01,95.95,32.06,Armchair,0,100,0.984646809
0.011,95.95,32.06,Armchair,0,100,1.081102595
0.012,95.95,32.06,Armchair,0,100,1.177790694
0.013,95.95,32.06,Armchair,0,100,1.275964584
0.014,95.95,32.06,Armchair,0,100,1.375936868
0.015,95.95,32.06,Armchair,0,100,1.471313019
0.016,95.95,32.06,Armchair,0,100,1.562767771
0.017,95.95,32.06,Armchair,0,100,1.659531899
0.018,95.95,32.06,Armchair,0,100,1.754906825
0.019,95.95,32.06,Armchair,0,100,1.841211476
0.02,95.95,32.06,Armchair,0,100,1.931825715
0.021,95.95,32.06,Armchair,0,100,2.03243825
0.022,95.95,32.06,Armchair,0,100,2.121259692
0.023,95.95,32.06,Armchair,0,100,2.197895663
0.024,95.95,32.06,Armchair,0,100,2.291665828
0.025,95.95,32.06,Armchair,0,100,2.388474235
0.026,95.95,32.06,Armchair,0,100,2.472170288
0.027,95.95,32.06,Armchair,0,100,2.555027647
0.028,95.95,32.06,Armchair,0,100,2.643942335
0.029,95.95,32.06,Armchair,0,100,2.734872472
0.03,95.95,32.06,Armchair,0,100,2.822624943
0.031,95.95,32.06,Armchair,0,100,2.907873134
0.032,95.95,32.06,Armchair,0,100,2.990186887
0.033,95.95,32.06,Armchair,0,100,3.068600691
0.034,95.95,32.06,Armchair,0,100,3.151828345
0.035,95.95,32.06,Armchair,0,100,3.23257478
0.036,95.95,32.06,Armchair,0,100,3.31742821
0.037,95.95,32.06,Armchair,0,100,3.401056724
0.038,95.95,32.06,Armchair,0,100,3.479876015
0.039,95.95,32.06,Armchair,0,100,3.56257366
0.04,95.95,32.06,Armchair,0,100,3.645572554
0.041,95.95,32.06,Armchair,0,100,3.716624178
0.042,95.95,32.06,Armchair,0,100,3.795673753
0.043,95.95,32.06,Armchair,0,100,3.874192437
0.044,95.95,32.06,Armchair,0,100,3.95227873
0.045,95.95,32.06,Armchair,0,100,4.026908951
0.046,95.95,32.06,Armchair,0,100,4.108286048
0.047,95.95,32.06,Armchair,0,100,4.182300458
0.048,95.95,32.06,Armchair,0,100,4.250980583
0.049,95.95,32.06,Armchair,0,100,4.325720587
0.05,95.95,32.06,Armchair,0,100,4.401850933
0.051,95.95,32.06,Armchair,0,100,4.477075292
0.052,95.95,32.06,Armchair,0,100,4.546864625
0.053,95.95,32.06,Armchair,0,100,4.618511911
0.054,95.95,32.06,Armchair,0,100,4.687679547
0.055,95.95,32.06,Armchair,0,100,4.760476137
0.056,95.95,32.06,Armchair,0,100,4.830421116
0.057,95.95,32.06,Armchair,0,100,4.901702764
0.058,95.95,32.06,Armchair,0,100,4.970134351
0.059,95.95,32.06,Armchair,0,100,5.038935798
0.06,95.95,32.06,Armchair,0,100,5.105780904
0.061,95.95,32.06,Armchair,0,100,5.166432313
0.062,95.95,32.06,Armchair,0,100,5.23249196
0.063,95.95,32.06,Armchair,0,100,5.302310087
0.064,95.95,32.06,Armchair,0,100,5.3737775
0.065,95.95,32.06,Armchair,0,100,5.432463359
0.066,95.95,32.06,Armchair,0,100,5.488785948
0.067,95.95,32.06,Armchair,0,100,5.557285333
0.068,95.95,32.06,Armchair,0,100,5.621072006
0.069,95.95,32.06,Armchair,0,100,5.687494429
0.07,95.95,32.06,Armchair,0,100,5.756340764
0.071,95.95,32.06,Armchair,0,100,5.805302588
0.072,95.95,32.06,Armchair,0,100,5.862018969
0.073,95.95,32.06,Armchair,0,100,5.927176612
0.074,95.95,32.06,Armchair,0,100,5.983241149
0.075,95.95,32.06,Armchair,0,100,6.047630345
0.076,95.95,32.06,Armchair,0,100,6.109379369
0.077,95.95,32.06,Armchair,0,100,6.162088571
0.078,95.95,32.06,Armchair,0,100,6.217695721
0.079,95.95,32.06,Armchair,0,100,6.268708481
0.08,95.95,32.06,Armchair,0,100,6.326993317
0.081,95.95,32.06,Armchair,0,100,6.389358664
0.082,95.95,32.06,Armchair,0,100,6.448372412
0.083,95.95,32.06,Armchair,0,100,6.497618948
0.084,95.95,32.06,Armchair,0,100,6.542065258
0.085,95.95,32.06,Armchair,0,100,6.596549995
0.086,95.95,32.06,Armchair,0,100,6.653080222
0.087,95.95,32.06,Armchair,0,100,6.710473653
0.088,95.95,32.06,Armchair,0,100,6.762831954
0.089,95.95,32.06,Armchair,0,100,6.80773243
0.09,95.95,32.06,Armchair,0,100,6.858150888
0.091,95.95,32.06,Armchair,0,100,6.903821626
0.092,95.95,32.06,Armchair,0,100,6.962441747
0.093,95.95,32.06,Armchair,0,100,7.008669817
0.094,95.95,32.06,Armchair,0,100,7.054377772
0.095,95.95,32.06,Armchair,0,100,7.097434087
0.096,95.95,32.06,Armchair,0,100,7.144645778
0.097,95.95,32.06,Armchair,0,100,7.197962715
0.098,95.95,32.06,Armchair,0,100,7.246462384
0.099,95.95,32.06,Armchair,0,100,7.290293312
0.1,95.95,32.06,Armchair,0,100,7.330188348
0.101,95.95,32.06,Armchair,0,100,7.377221669
0.102,95.95,32.06,Armchair,0,100,7.419995057
0.103,95.95,32.06,Armchair,0,100,7.466095385
0.104,95.95,32.06,Armchair,0,100,7.5074958
0.105,95.95,32.06,Armchair,0,100,7.552181337
0.106,95.95,32.06,Armchair,0,100,7.586613341
0.107,95.95,32.06,Armchair,0,100,7.631334628
0.108,95.95,32.06,Armchair,0,100,7.675841934
0.109,95.95,32.06,Armchair,0,100,7.717312572
0.11,95.95,32.06,Armchair,0,100,7.755645074
0.111,95.95,32.06,Armchair,0,100,7.790821831
0.112,95.95,32.06,Armchair,0,100,7.826194382
0.113,95.95,32.06,Armchair,0,100,7.86654703
0.114,95.95,32.06,Armchair,0,100,7.908042964
0.115,95.95,32.06,Armchair,0,100,7.950530139
0.116,95.95,32.06,Armchair,0,100,7.984693264
0.117,95.95,32.06,Armchair,0,100,8.015945943
0.118,95.95,32.06,Armchair,0,100,8.046588365
0.119,95.95,32.06,Armchair,0,100,8.086454432
0.12,95.95,32.06,Armchair,0,100,8.123780919
0.121,95.95,32.06,Armchair,0,100,8.162079228
0.122,95.95,32.06,Armchair,0,100,8.196827134
0.123,95.95,32.06,Armchair,0,100,8.224514007
0.124,95.95,32.06,Armchair,0,100,8.253397879
0.125,95.95,32.06,Armchair,0,100,8.291013572
0.126,95.95,32.06,Armchair,0,100,8.325147311
0.127,95.95,32.06,Armchair,0,100,8.357687555
0.128,95.95,32.06,Armchair,0,100,8.385608612
0.129,95.95,32.06,Armchair,0,100,8.41557097
0.13,95.95,32.06,Armchair,0,100,8.448185455
0.131,95.95,32.06,Armchair,0,100,8.480523395
0.132,95.95,32.06,Armchair,0,100,8.502631168
0.133,95.95,32.06,Armchair,0,100,8.529652809
0.134,95.95,32.06,Armchair,0,100,8.566878289
0.135,95.95,32.06,Armchair,0,100,8.593521214
0.136,95.95,32.06,Armchair,0,100,8.618767212
0.137,95.95,32.06,Armchair,0,100,8.644773556
0.138,95.95,32.06,Armchair,0,100,8.668998857
0.139,95.95,32.06,Armchair,0,100,8.695862154
0.14,95.95,32.06,Armchair,0,100,8.723150934
0.141,95.95,32.06,Armchair,0,100,8.754204131
0.142,95.95,32.06,Armchair,0,100,8.775413364
0.143,95.95,32.06,Armchair,0,100,8.788269187
0.144,95.95,32.06,Armchair,0,100,8.820447764
0.145,95.95,32.06,Armchair,0,100,8.852559427
0.146,95.95,32.06,Armchair,0,100,8.86896482
0.147,95.95,32.06,Armchair,0,100,8.883621131
0.148,95.95,32.06,Armchair,0,100,8.909777698
0.149,95.95,32.06,Armchair,0,100,8.938348138
0.15,95.95,32.06,Armchair,0,100,8.9587501
0.151,95.95,32.06,Armchair,0,100,8.977001891
0.152,95.95,32.06,Armchair,0,100,8.994419274
0.153,95.95,32.06,Armchair,0,100,9.017525891
0.154,95.95,32.06,Armchair,0,100,9.035289666
0.155,95.95,32.06,Armchair,0,100,9.05103769
0.156,95.95,32.06,Armchair,0,100,9.073835792
0.157,95.95,32.06,Armchair,0,100,9.096887195
0.158,95.95,32.06,Armchair,0,100,9.114753087
0.159,95.95,32.06,Armchair,0,100,9.129016815
0.16,95.95,32.06,Armchair,0,100,9.143250538
0.161,95.95,32.06,Armchair,0,100,9.16334637
0.162,95.95,32.06,Armchair,0,100,9.181730851
0.163,95.95,32.06,Armchair,0,100,9.19664208
0.164,95.95,32.06,Armchair,0,100,9.211461441
0.165,95.95,32.06,Armchair,0,100,9.228221037
0.166,95.95,32.06,Armchair,0,100,9.243501031
0.167,95.95,32.06,Armchair,0,100,9.254675142
0.168,95.95,32.06,Armchair,0,100,9.271724812
0.169,95.95,32.06,Armchair,0,100,9.287973834
0.17,95.95,32.06,Armchair,0,100,9.298983266
0.171,95.95,32.06,Armchair,0,100,9.30890588
0.172,95.95,32.06,Armchair,0,100,9.323910237
0.173,95.95,32.06,Armchair,0,100,9.337191394
0.174,95.95,32.06,Armchair,0,100,9.345621362
0.175,95.95,32.06,Armchair,0,100,9.361483012
0.176,95.95,32.06,Armchair,0,100,9.368453761
0.177,95.95,32.06,Armchair,0,100,9.382180418
0.178,95.95,32.06,Armchair,0,100,9.392903898
0.179,95.95,32.06,Armchair,0,100,9.399226599
0.18,95.95,32.06,Armchair,0,100,9.40775829
0.181,95.95,32.06,Armchair,0,100,9.418921427
0.182,95.95,32.06,Armchair,0,100,9.425048872
0.183,95.95,32.06,Armchair,0,100,9.167397864
0.184,95.95,32.06,Armchair,0,100,8.320976
0.185,95.95,32.06,Armchair,0,100,6.745500783
0.186,95.95,32.06,Armchair,0,100,4.236673518
0.187,95.95,32.06,Armchair,0,100,0.764572993
0.188,95.95,32.06,Armchair,0,100,0
0.189,95.95,32.06,Armchair,0,100,0
0.19,95.95,32.06,Armchair,0,100,0
0.191,95.95,32.06,Armchair,0,100,0
0.192,95.95,32.06,Armchair,0,100,0
0.193,95.95,32.06,Armchair,0,100,0
0.194,95.95,32.06,Armchair,0,100,0
0.195,95.95,32.06,Armchair,0,100,0
0.196,95.95,32.06,Armchair,0,100,0
0.197,95.95,32.06,Armchair,0,100,0
0.198,95.95,32.06,Armchair,0,100,0
0.199,95.95,32.06,Armchair,0,100,0
0.2,95.95,32.06,Armchair,0,100,0
0.201,95.95,32.06,Armchair,0,100,0
0.202,95.95,32.06,Armchair,0,100,0
0.203,95.95,32.06,Armchair,0,100,0
0.204,95.95,32.06,Armchair,0,100,0
0.205,95.95,32.06,Armchair,0,100,0
0.206,95.95,32.06,Armchair,0,100,0
0.207,95.95,32.06,Armchair,0,100,0
0.208,95.95,32.06,Armchair,0,100,0
